"","X1","OBJECTID","DEM_MEAN","DEM_STD","slope_MEAN","slope_STD","aspect_MEAN","aspect_STD","LiveBio_MEAN","LiveBio_STD","DeadBio_MEAN","DeadBio_STD","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area","stn_1","stn_2","stn_3","month_temp","week_temp","dur_temp","month_precip","week_precip","month_humid","week_humid","dur_humid","month_sol","week_sol","wind_speed","dbr_means","fireduration","pred_dbr","step_dbr","lasso_dbr"
"1",0,20500,876.391862830951,103.605648289322,18.7416904779531,9.31058551490238,212.422307279248,79.2549997230549,128374.592305806,128627.860852678,2.80881744460492,71.4486551670109,"USF","SRF","DUTCHMAN","00000874","2017/08/07 00:00:00.000","2017/08/12 00:00:00.000",1,"Ruth Complex",1522,1522.74719238281,8,1,NA,14022.6820345979,6162339.4044074,"Ruth                        ","Alder Point                 ","Yolla Bolla                 ",72.1612903225806,76,70.3333333333333,0.07,0.07,49.4838709677419,41.375,63.3333333333333,640.645161290323,573.125,1.21666666666667,233.87688348833,432000,224.008995405952,247.159756822592,259.124292426943
"2",1,20487,1548.35135431947,25.6193714528685,4.79982554559647,5.27145372137334,211.379527693991,120.497654996441,2094.44385666297,6115.12165721104,0,0,"USF","TNF","CHILCOOT","00000992","2017/08/06 00:00:00.000","2017/08/07 00:00:00.000",1,NA,1021,1019.99224853516,1,1,NA,12534.0562699137,4127762.16938611,"Clover                      ","Dog Valley                  ","Doyle                       ",69.1612903225806,71.25,58.5,0.8,0.44,41.0645161290323,44,75.5,603.516129032258,480.25,0.65,349.685348806853,86400,212.222492289686,221.744294121779,259.124292426943
"3",2,20652,1207.92993891515,43.9832004737938,19.7936475117161,10.2140481296101,202.998837034179,82.7591092069915,9308.06543018779,31732.4951097683,0,0,"CDF","BDU","OAK","00017005","2017/11/29 00:00:00.000","2017/12/07 00:00:00.000",10,NA,325.513537392374,325.513549804688,2,1,NA,5874.13686999918,1317306.54937447,"Mill Creek (BDF)            ","Beaumont                    ","Wood Canyon                 ",61.4838709677419,67.25,57.2222222222222,0.12,0,43.4193548387097,25.375,23.3333333333333,260.129032258065,260.125,3.37777777777778,34.987423467547,691200,149.212728193483,168.479346969319,259.124292426943
"4",3,20333,57.3864963178517,45.1715813103654,10.6518995347685,8.04121572304158,185.270746449839,86.452404197668,939.288468683401,8247.42091529428,0,0,"CDF","LNU","37","00010393","2017/10/08 00:00:00.000","2017/10/17 00:00:00.000",14,"Marin Co. Fire Assist",1657,1657.36938476562,1,1,NA,22443.9075462926,6707135.86187938,"Novato Fire-Robinhood       ","Big Rock                    ","Woodacre                    ",67.7096774193548,66.375,65.7,0.05,0,53.5806451612903,39.375,35.5,463.322580645161,451.625,3.73,171.51055897874,777600,254.917817473573,271.352154113409,259.124292426943
"5",4,20516,1069.40646268386,228.334062793979,29.1923527495548,8.79379026603482,191.561405438412,143.650082546171,27107.1719387141,23964.8396320784,20.413748352751,405.091155119428,"USF","SQF","GARDEN","00001989","2017/07/30 00:00:00.000","2017/11/04 00:00:00.000",2,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",1350,1282.46691894531,6,1,NA,14847.507580772,5189959.35225973,"Democrat                    ","Delonagha                   ","Breckenridge                ",84.3,84.625,71.7959183673469,0,0,28,28.375,37.3775510204082,668.2,640.5,3.2030612244898,209.993820980341,8380800,272.287125594989,293.420668368215,259.124292426943
"6",5,20283,563.759483861911,69.106009658504,16.3758533056148,9.34597049655523,195.073979837204,107.440209293995,106064.42734268,73689.9227749824,497.703073747513,2546.60299673722,"CDF","NEU","LOBO","00026275","2017/10/08 00:00:00.000","2017/10/26 00:00:00.000",14,"Part of  the NEU Wind Complex",821,820.644104003906,7,1,NA,13271.595914766,3321028.84296366,"Dorris Ranch                ","Reader Ranch                ","Secret Town                 ",67.5806451612903,63.875,62.8947368421053,0.07,0,41.258064516129,31.375,37.6315789473684,422.58064516129,419.375,3.58421052631579,242.461722519064,1555200,179.055280692243,198.01745754936,259.124292426943
"7",6,20300,243.116684920172,30.2316693956317,10.1692317245816,5.45446388232684,175.161731923867,87.5089653858105,11008.3874261264,12047.0290369008,0,0,"CDF","MMU","OAKWOOD","00011650","2017/06/10 00:00:00.000","2017/06/13 00:00:00.000",9,NA,NA,1428.53259277344,1,1,NA,22146.0931728109,5781066.15116515,"Hurley                      ","Batterson                   ","North Fork                  ",68.2258064516129,72.5,61.25,0.02,0,53.1612903225806,44.125,52.25,608.645161290323,650,2.575,247.308713005864,259200,304.874391842194,322.503012957107,259.124292426943
"8",7,20577,2116.32049701927,112.896878790358,19.8969569244119,10.2935918875727,146.206589832502,113.784127876758,35110.5221148788,23946.547513466,1.24266152285217,49.450602900211,"USF","BDF","HOLCOMB","00009443","2017/06/19 00:00:00.000","2017/07/09 00:00:00.000",9,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",1503,1505.4912109375,1,1,NA,17820.7371866196,6092507.01115536,"Fawnskin                    ","Converse                    ","Big Pine Flat               ",57.8064516129032,60.5,67.45,0,0,32.7096774193548,29.5,27.35,711.129032258065,749,3.515,342.901985936264,1728000,155.133429535846,175.591870823933,259.124292426943
"9",8,20478,566.667172899204,72.6356576252276,24.8464124241698,10.9027258492531,197.166594553929,134.052303978936,21002.0318727487,15258.6804285569,1.33828432071283,30.9738863742064,"CDF","FKU","CREEK","00008759","2017/06/23 00:00:00.000","2017/06/27 00:00:00.000",5,NA,NA,356.935272216797,1,1,NA,6444.67204716233,1444465.82873868,"Santa Rita                  ","Marquez                     ","Hernandez                   ",64.8064516129032,78.25,76.6,0.08,0,46.1612903225806,36.5,30.6,733.161290322581,777.375,5.38,193.529440261462,345600,349.221285336508,341.764490585502,259.124292426943
"10",9,20304,122.147305101103,22.5622165554002,5.90073114707734,4.72141196248391,154.430523041143,110.917178321629,189.835457815914,2178.5737744804,0,0,"CDF","MMU","WRIGHT","00009464","2017/05/12 00:00:00.000","2017/05/13 00:00:00.000",14,NA,NA,1730.46643066406,1,1,NA,13851.3019298507,7002949.40165845,"Los Banos                   ","San Luis NWR                ","Panoche Road                ",65.1034482758621,63.375,60.5,0.26,0,55.8965517241379,58.625,48.5,543.620689655172,591.375,9.25,275.649143392621,86400,388.669740739749,373.987904266323,259.124292426943
"11",10,20515,1010.19520130033,187.593017779626,22.789515620602,8.94539169650505,141.609787578056,62.6431389001239,15026.8418532941,20725.3946048481,0,0,"USF","SQF","HIGHWAY","00001223","2017/06/18 00:00:00.000","2017/09/26 00:00:00.000",9,"CONT_DATE  based on FIRESTAT Fire Out Date/Time",1533,1522.25939941406,6,1,NA,15070.4915099121,6160365.03917378,"Delonagha                   ","Democrat                    ","Breckenridge                ",72.2333333333333,72.125,80.71,0.08,0,41.2666666666667,43.125,34.72,688.566666666667,695.125,3.281,239.255014770998,8640000,274.302480619672,294.849923086419,259.124292426943
