OBJECTID,FIREID,COUNT,AREA,MEAN
1,20121,1531,1377900.000000000000000,257.478721390044598
2,20122,10268,9241200.000000000000000,1.996252535194751
3,20123,1859,1673100.000000000000000,20.610943719608414
4,20153,129640,116676000.000000000000000,113.312979396832873
5,20184,2108,1897200.000000000000000,311.990355449111917
6,20205,4462,4015800.000000000000000,534.894865161364805
7,20215,1929,1736100.000000000000000,66.849639633518848
8,20227,4502,4051800.000000000000000,189.271630247345712
9,20230,17417,15675300.000000000000000,64.253761665154570
10,20231,2334,2100600.000000000000000,120.835975425715318
11,20251,11971,10773900.000000000000000,32.286222909747799
12,20252,41345,37210500.000000000000000,19.416373406397646
13,20273,1769,1592100.000000000000000,685.481997891561377
14,20278,3902,3511800.000000000000000,2.240296664450610
15,20283,3687,3318300.000000000000000,1047.138144840481573
16,20290,18353,16517700.000000000000000,12.638600491752536
17,20291,1497,1347300.000000000000000,3.372291169966072
18,20293,8608,7747200.000000000000000,2.140056362825699
19,20300,6428,5785200.000000000000000,42.867668283378848
20,20301,4444,3999600.000000000000000,1019.782228093979938
21,20302,367959,331163100.000000000000000,557.598620986076298
22,20303,2507,2256300.000000000000000,482.446214243288182
23,20304,7787,7008300.000000000000000,0.763445357815880
24,20322,10647,9582300.000000000000000,191.605397018141673
25,20331,250855,225769500.000000000000000,638.863100660090367
26,20332,3572,3214800.000000000000000,62.350773479209636
27,20333,7456,6710400.000000000000000,5.394744913977103
28,20335,165016,148514400.000000000000000,585.659696558775067
29,20336,78080,70272000.000000000000000,535.749042963737338
30,20337,232162,208945800.000000000000000,515.943985460451131
31,20338,9922,8929800.000000000000000,177.972130314281600
32,20348,3295,2965500.000000000000000,51.418525334301776
33,20379,70227,63204300.000000000000000,23.517697678274732
34,20380,27187,24468300.000000000000000,33.222057479387367
35,20381,2019,1817100.000000000000000,11.352509343193097
36,20384,13226,11903400.000000000000000,21.352504057259058
37,20416,2759,2483100.000000000000000,10.310556077836173
38,20418,1802,1621800.000000000000000,1.284448943312769
39,20422,90734,81660600.000000000000000,40.924984912106929
40,20433,27152,24436800.000000000000000,0.398647518651796
41,20453,38925,35032500.000000000000000,227.319241500271374
42,20460,2163,1946700.000000000000000,0.008016551031429
43,20461,1667,1500300.000000000000000,41.409507513189290
44,20462,28334,25500600.000000000000000,24.606132508132017
45,20470,219814,197832600.000000000000000,246.263783546657550
46,20471,20387,18348300.000000000000000,0.690479070493459
47,20476,50130,45117000.000000000000000,121.826561135925175
48,20477,7026,6323400.000000000000000,140.246934172165822
49,20478,1606,1445400.000000000000000,204.282589367288125
50,20485,15172,13654800.000000000000000,791.634669095694221
51,20486,83189,74870100.000000000000000,855.788033216370991
52,20487,4582,4123800.000000000000000,44.954697584075625
53,20490,19888,17899200.000000000000000,603.971155800171118
54,20491,7849,7064100.000000000000000,587.200392109662175
55,20492,1400,1260000.000000000000000,580.200289516789553
56,20493,2294,2064600.000000000000000,645.206474041460751
57,20499,7379,6641100.000000000000000,520.154957553302893
58,20500,6853,6167700.000000000000000,826.536710530950018
59,20503,95881,86292900.000000000000000,854.570215075386614
60,20504,1435,1291500.000000000000000,1200.778467858876184
61,20508,19075,17167500.000000000000000,886.315698275034947
62,20509,14116,12704400.000000000000000,672.389242086271338
63,20511,71205,64084500.000000000000000,434.630818357716123
64,20512,164677,148209300.000000000000000,950.962276158571740
65,20513,5936,5342400.000000000000000,170.036859910081660
66,20514,85043,76538700.000000000000000,284.507450286380163
67,20515,6843,6158700.000000000000000,158.837694606985877
68,20516,5757,5181300.000000000000000,647.046236636718618
69,20523,2739,2465100.000000000000000,743.725825467132267
70,20524,55627,50064300.000000000000000,893.888934994743863
71,20529,60044,54039600.000000000000000,726.029757128173401
72,20534,3842,3457800.000000000000000,2.068845759326750
73,20540,19507,17556300.000000000000000,1097.818122740667377
74,20542,2006,1805400.000000000000000,815.651050408126594
75,20546,82770,74493000.000000000000000,252.443545580388445
76,20549,1267098,1140388200.000000000000000,241.336051332138084
77,20551,41064,36957600.000000000000000,920.331278248672106
78,20557,7169,6452100.000000000000000,708.825291094046293
79,20561,286835,258151500.000000000000000,640.636513343718434
80,20573,3887,3498300.000000000000000,4.423948044576957
81,20577,6757,6081300.000000000000000,577.006531792913506
82,20578,2059,1853100.000000000000000,44.328428276074980
83,20581,3002,2701800.000000000000000,54.233210182444083
84,20597,1705,1534500.000000000000000,0.000000000000000
85,20598,6720,6048000.000000000000000,17.284741308291753
86,20600,138888,124999200.000000000000000,574.601249165475565
87,20602,205517,184965300.000000000000000,114.747778064019002
88,20603,20197,18177300.000000000000000,2.923956545129851
89,20608,1402,1261800.000000000000000,4.339759496071199
90,20617,2932,2638800.000000000000000,1.347590886391852
91,20620,1772,1594800.000000000000000,778.434991994775942
92,20621,10313,9281700.000000000000000,366.385624668108790
93,20625,37848,34063200.000000000000000,288.872975767641492
94,20626,18067,16260300.000000000000000,1196.318803869999101
95,20627,27119,24407100.000000000000000,681.288196694908493
96,20637,1429,1286100.000000000000000,617.036444042678340
97,20643,8190,7371000.000000000000000,45.165481113950847
98,20652,411196,370076400.000000000000000,970.809159587374779
99,20654,1518,1366200.000000000000000,24.300639245821081
100,20656,5710,5139000.000000000000000,34.595825763174616
101,20663,72605,65344500.000000000000000,504.899030632309746
102,20671,38571,34713900.000000000000000,479.173513600940055
103,20704,31700,28530000.000000000000000,42.848922626408118
104,20705,34587,31128300.000000000000000,456.149639195828115
105,20706,33997,30597300.000000000000000,599.837396250870938
106,20707,164209,147788100.000000000000000,730.915216887063025
107,20708,147912,133120800.000000000000000,1109.938122869235940
108,20709,2212,1990800.000000000000000,609.399156004783208
109,20712,3168,2851200.000000000000000,46.030082968750385
