OBJECTID,FIREID,COUNT,AREA,SUM
1,20121,1530,1377000.000000000000000,32186500.615333557128906
2,20122,10266,9239400.000000000000000,0.000000000000000
3,20123,1859,1673100.000000000000000,0.000000000000000
4,20153,129642,116677800.000000000000000,8824229.714126586914063
5,20184,2109,1898100.000000000000000,0.000000000000000
6,20205,4465,4018500.000000000000000,538515.356231689453125
7,20215,1926,1733400.000000000000000,0.000000000000000
8,20227,4498,4048200.000000000000000,0.000000000000000
9,20230,17422,15679800.000000000000000,0.000000000000000
10,20231,2335,2101500.000000000000000,0.000000000000000
11,20251,11976,10778400.000000000000000,0.000000000000000
12,20252,41343,37208700.000000000000000,0.000000000000000
13,20273,1768,1591200.000000000000000,2096801.311868667602539
14,20278,3900,3510000.000000000000000,0.000000000000000
15,20283,3684,3315600.000000000000000,1833538.123685836791992
16,20290,18349,16514100.000000000000000,0.000000000000000
17,20291,1496,1346400.000000000000000,0.000000000000000
18,20293,8605,7744500.000000000000000,0.000000000000000
19,20300,6425,5782500.000000000000000,0.000000000000000
20,20301,4447,4002300.000000000000000,132610909.976894378662109
21,20302,367936,331142400.000000000000000,117900179.271576523780823
22,20303,2506,2255400.000000000000000,0.000000000000000
23,20304,7781,7002900.000000000000000,0.000000000000000
24,20322,10647,9582300.000000000000000,163423.462081909179688
25,20331,250845,225760500.000000000000000,2521923.107246398925781
26,20332,3571,3213900.000000000000000,0.000000000000000
27,20333,7456,6710400.000000000000000,0.000000000000000
28,20335,165015,148513500.000000000000000,4016806.334823608398438
29,20336,78086,70277400.000000000000000,25881.412872314453125
30,20337,232147,208932300.000000000000000,63841.907768249511719
31,20338,9919,8927100.000000000000000,645642.980078697204590
32,20348,3295,2965500.000000000000000,3886.928833007812500
33,20379,70221,63198900.000000000000000,0.000000000000000
34,20380,27191,24471900.000000000000000,0.000000000000000
35,20381,2021,1818900.000000000000000,0.000000000000000
36,20384,13226,11903400.000000000000000,0.000000000000000
37,20416,2798,2518200.000000000000000,0.000000000000000
38,20418,1804,1623600.000000000000000,0.000000000000000
39,20422,90740,81666000.000000000000000,0.000000000000000
40,20433,27150,24435000.000000000000000,0.000000000000000
41,20453,38870,34983000.000000000000000,505332.468004226684570
42,20460,2164,1947600.000000000000000,0.000000000000000
43,20461,1668,1501200.000000000000000,0.000000000000000
44,20462,28333,25499700.000000000000000,0.000000000000000
45,20470,219816,197834400.000000000000000,9843819.124206542968750
46,20471,20383,18344700.000000000000000,0.000000000000000
47,20476,50133,45119700.000000000000000,0.000000000000000
48,20477,7023,6320700.000000000000000,0.000000000000000
49,20478,1610,1449000.000000000000000,2154.637756347656250
50,20485,15167,13650300.000000000000000,5920441.967806339263916
51,20486,83182,74863800.000000000000000,26380143.093791484832764
52,20487,4585,4126500.000000000000000,0.000000000000000
53,20490,19890,17901000.000000000000000,41740578.329965114593506
54,20491,7860,7074000.000000000000000,226399594.845016479492188
55,20492,1398,1258200.000000000000000,0.000000000000000
56,20493,2296,2066400.000000000000000,39217516.251434326171875
57,20499,7378,6640200.000000000000000,15596210.986435174942017
58,20500,6851,6165900.000000000000000,19243.208312988281250
59,20503,95873,86285700.000000000000000,73274437.730904102325439
60,20504,1435,1291500.000000000000000,0.000000000000000
61,20508,19080,17172000.000000000000000,14391.080673217773438
62,20509,14127,12714300.000000000000000,28178.472602844238281
63,20511,71206,64085400.000000000000000,221156417.169310569763184
64,20512,164669,148202100.000000000000000,3711574480.973137378692627
65,20513,5941,5346900.000000000000000,278917.537811279296875
66,20514,85043,76538700.000000000000000,298477486.674415588378906
67,20515,6840,6156000.000000000000000,0.000000000000000
68,20516,5753,5177700.000000000000000,117440.294273376464844
69,20523,2737,2463300.000000000000000,36158455.772369384765625
70,20524,55627,50064300.000000000000000,1060337435.332999229431152
71,20529,60048,54043200.000000000000000,54615470.534545898437500
72,20534,3845,3460500.000000000000000,0.000000000000000
73,20540,19517,17565300.000000000000000,3748030.594507694244385
74,20542,2009,1808100.000000000000000,363608.183434486389160
75,20546,82764,74487600.000000000000000,5061084.065917968750000
76,20549,1267082,1140373800.000000000000000,35030068.398402988910675
77,20551,41056,36950400.000000000000000,14826410.829566240310669
78,20557,7171,6453900.000000000000000,2491827.926142692565918
79,20561,286820,258138000.000000000000000,270425156.917800307273865
80,20573,3889,3500100.000000000000000,0.000000000000000
81,20577,6757,6081300.000000000000000,8396.663909912109375
82,20578,2064,1857600.000000000000000,0.000000000000000
83,20581,3007,2706300.000000000000000,0.000000000000000
84,20597,1708,1537200.000000000000000,0.000000000000000
85,20598,6718,6046200.000000000000000,0.000000000000000
86,20600,138888,124999200.000000000000000,132038569.484670162200928
87,20602,205498,184948200.000000000000000,22444161.266696453094482
88,20603,20193,18173700.000000000000000,0.000000000000000
89,20608,1401,1260900.000000000000000,0.000000000000000
90,20617,2932,2638800.000000000000000,0.000000000000000
91,20620,1772,1594800.000000000000000,9462.317626953125000
92,20621,10315,9283500.000000000000000,5209072.685920715332031
93,20625,37856,34070400.000000000000000,987.235855102539063
94,20626,18066,16259400.000000000000000,34792864.396234750747681
95,20627,27125,24412500.000000000000000,74240.915737628936768
96,20637,1429,1286100.000000000000000,0.000000000000000
97,20643,8189,7370100.000000000000000,0.000000000000000
98,20652,411202,370081800.000000000000000,81086091.890406012535095
99,20654,1518,1366200.000000000000000,0.000000000000000
100,20656,5708,5137200.000000000000000,0.000000000000000
