OBJECTID,FIREID,COUNT,AREA,SUM
1,20121,1528,1375200.000000000000000,42662341.132934570312500
2,20122,10260,9234000.000000000000000,3490632.563964843750000
3,20123,1856,1670400.000000000000000,3327647.476074218750000
4,20153,129616,116654400.000000000000000,4638745751.259460449218750
5,20184,2107,1896300.000000000000000,50432799.917907714843750
6,20205,4458,4012200.000000000000000,571474411.249725341796875
7,20215,1925,1732500.000000000000000,25987234.896484375000000
8,20227,4494,4044600.000000000000000,87278013.272338867187500
9,20230,17411,15669900.000000000000000,224710638.672851562500000
10,20231,2329,2096100.000000000000000,64469734.800781250000000
11,20251,11961,10764900.000000000000000,67401581.927246093750000
12,20252,41326,37193400.000000000000000,272700305.469238281250000
13,20273,1766,1589400.000000000000000,227731954.915924072265625
14,20278,3899,3509100.000000000000000,2870540.146484375000000
15,20283,3680,3312000.000000000000000,390317092.621063232421875
16,20290,18340,16506000.000000000000000,80788783.350402832031250
17,20291,1492,1342800.000000000000000,1125325.897460937500000
18,20293,8603,7742700.000000000000000,6549859.853515625000000
19,20300,6419,5777100.000000000000000,70662838.888305664062500
20,20301,4436,3992400.000000000000000,336272513.958068847656250
21,20302,367886,331097400.000000000000000,15139960375.132247924804688
22,20303,2502,2251800.000000000000000,137250747.761230468750000
23,20304,7781,7002900.000000000000000,1477109.697265625000000
24,20322,10641,9576900.000000000000000,349461457.286132812500000
25,20331,250770,225693000.000000000000000,24629719720.678466796875000
26,20332,3567,3210300.000000000000000,59186951.741943359375000
27,20333,7449,6704100.000000000000000,6996759.803222656250000
28,20335,164981,148482900.000000000000000,15690120109.463317871093750
29,20336,78051,70245900.000000000000000,7698504246.236389160156250
30,20337,232093,208883700.000000000000000,12884202508.959716796875000
31,20338,9913,8921700.000000000000000,194853270.421630859375000
32,20348,3292,2962800.000000000000000,39475437.599121093750000
33,20379,70202,63181800.000000000000000,382224277.743652343750000
34,20380,27178,24460200.000000000000000,133432157.416305541992188
35,20381,2017,1815300.000000000000000,3965344.082031250000000
36,20384,13219,11897100.000000000000000,34995754.727539062500000
37,20416,2759,2483100.000000000000000,4562066.159667968750000
38,20418,1801,1620900.000000000000000,187839.319824218750000
39,20422,90707,81636300.000000000000000,229185680.077178955078125
40,20433,27143,24428700.000000000000000,1338519.652587890625000
41,20453,38863,34976700.000000000000000,471557555.782546997070313
42,20460,2160,1944000.000000000000000,14419.678710937500000
43,20461,1666,1499400.000000000000000,22332305.950561523437500
44,20462,28325,25492500.000000000000000,80895923.743583679199219
45,20470,219781,197802900.000000000000000,3799429111.797607421875000
46,20471,20379,18341100.000000000000000,3555159.848632812500000
47,20476,50119,45107100.000000000000000,186833161.797851562500000
48,20477,7018,6316200.000000000000000,46609410.051269531250000
49,20478,1605,1444500.000000000000000,33708261.155761718750000
50,20485,15153,13637700.000000000000000,2729165105.014434814453125
51,20486,83155,74839500.000000000000000,11761727246.121368408203125
52,20487,4581,4122900.000000000000000,9594647.307373046875000
53,20490,19879,17891100.000000000000000,2861221177.052062988281250
54,20491,7842,7057800.000000000000000,1506207812.801727294921875
55,20492,1397,1257300.000000000000000,235195701.470214843750000
56,20493,2292,2062800.000000000000000,443703035.979492187500000
57,20499,7372,6634800.000000000000000,1407525891.660484313964844
58,20500,6845,6160500.000000000000000,878724084.333244323730469
59,20503,95846,86261400.000000000000000,28038575303.994308471679688
60,20504,1433,1289700.000000000000000,432123145.193786621093750
61,20508,19067,17160300.000000000000000,3698426649.395895004272461
62,20509,14110,12699000.000000000000000,1807323828.690399169921875
63,20511,71175,64057500.000000000000000,5088764329.825744628906250
64,20512,164644,148179600.000000000000000,25567278668.907768249511719
65,20513,5935,5341500.000000000000000,80368914.921436309814453
66,20514,85019,76517100.000000000000000,8428024107.964084625244141
67,20515,6836,6152400.000000000000000,102723490.909118652343750
68,20516,5750,5175000.000000000000000,155866238.647605895996094
69,20523,2737,2463300.000000000000000,568479853.133056640625000
70,20524,55592,50032800.000000000000000,10309948498.764892578125000
71,20529,60027,54024300.000000000000000,13089724826.445045471191406
72,20534,3838,3454200.000000000000000,1527740.933593750000000
73,20540,19502,17551800.000000000000000,3697435960.338138580322266
74,20542,2006,1805400.000000000000000,427010183.435485839843750
75,20546,82747,74472300.000000000000000,4893493140.511806488037109
76,20549,1266953,1140257700.000000000000000,33607875424.122119903564453
77,20551,41028,36925200.000000000000000,10653266910.241645812988281
78,20557,7169,6452100.000000000000000,1612859407.678176879882813
79,20561,286744,258069600.000000000000000,47442867878.644172668457031
80,20573,3885,3496500.000000000000000,6668645.067871093750000
81,20577,6754,6078600.000000000000000,237136466.363891601562500
82,20578,2058,1852200.000000000000000,21436611.889160156250000
83,20581,3000,2700000.000000000000000,26308761.754882812500000
84,20597,1705,1534500.000000000000000,0.000000000000000
85,20598,6711,6039900.000000000000000,8147838.642272949218750
86,20600,138870,124983000.000000000000000,6886949038.459817886352539
87,20602,205451,184905900.000000000000000,2137143430.931098937988281
88,20603,20182,18163800.000000000000000,4348071.376159667968750
89,20608,1400,1260000.000000000000000,579396.482421875000000
90,20617,2925,2632500.000000000000000,265712.232177734375000
91,20620,1771,1593900.000000000000000,51600202.089721679687500
92,20621,10307,9276300.000000000000000,657586300.084487915039063
93,20625,37837,34053300.000000000000000,1031936192.303222656250000
94,20626,18058,16252200.000000000000000,3212075554.784637451171875
