OBJECTID,FIREID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
1,20121,0.000000000000000,153000.000000000000000,117900.000000000000000,0.000000000000000,0.000000000000000,1107900.000000000000000,0.000000000000000,0.000000000000000
2,20122,0.000000000000000,0.000000000000000,9219600.000000000000000,0.000000000000000,0.000000000000000,10800.000000000000000,0.000000000000000,900.000000000000000
3,20123,0.000000000000000,0.000000000000000,1095300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,593100.000000000000000
4,20153,0.000000000000000,45157500.000000000000000,28461600.000000000000000,68400.000000000000000,114300.000000000000000,42358500.000000000000000,42300.000000000000000,486900.000000000000000
5,20184,277200.000000000000000,902700.000000000000000,258300.000000000000000,0.000000000000000,0.000000000000000,470700.000000000000000,0.000000000000000,0.000000000000000
6,20205,3243600.000000000000000,198900.000000000000000,0.000000000000000,13500.000000000000000,0.000000000000000,562500.000000000000000,0.000000000000000,0.000000000000000
7,20215,0.000000000000000,714600.000000000000000,306000.000000000000000,30600.000000000000000,27000.000000000000000,657000.000000000000000,0.000000000000000,0.000000000000000
8,20227,0.000000000000000,1951200.000000000000000,1653300.000000000000000,0.000000000000000,37800.000000000000000,148500.000000000000000,0.000000000000000,246600.000000000000000
9,20230,14400.000000000000000,9033300.000000000000000,4911300.000000000000000,0.000000000000000,200700.000000000000000,670500.000000000000000,50400.000000000000000,786600.000000000000000
10,20231,0.000000000000000,1916100.000000000000000,70200.000000000000000,0.000000000000000,32400.000000000000000,77400.000000000000000,0.000000000000000,0.000000000000000
11,20251,0.000000000000000,9372600.000000000000000,661500.000000000000000,15300.000000000000000,168300.000000000000000,520200.000000000000000,0.000000000000000,20700.000000000000000
12,20252,0.000000000000000,25254900.000000000000000,5006700.000000000000000,836100.000000000000000,3586500.000000000000000,2257200.000000000000000,245700.000000000000000,38700.000000000000000
13,20273,282600.000000000000000,231300.000000000000000,17100.000000000000000,0.000000000000000,0.000000000000000,1056600.000000000000000,900.000000000000000,0.000000000000000
14,20278,0.000000000000000,0.000000000000000,3506400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,20283,1004400.000000000000000,40500.000000000000000,157500.000000000000000,18900.000000000000000,90000.000000000000000,2012400.000000000000000,900.000000000000000,0.000000000000000
16,20290,0.000000000000000,3787200.000000000000000,738900.000000000000000,0.000000000000000,3050100.000000000000000,3151800.000000000000000,0.000000000000000,5781600.000000000000000
17,20291,0.000000000000000,929700.000000000000000,0.000000000000000,0.000000000000000,119700.000000000000000,298800.000000000000000,0.000000000000000,0.000000000000000
18,20293,0.000000000000000,3649500.000000000000000,4059000.000000000000000,0.000000000000000,0.000000000000000,27900.000000000000000,0.000000000000000,0.000000000000000
19,20300,0.000000000000000,58500.000000000000000,3557700.000000000000000,5400.000000000000000,0.000000000000000,2151900.000000000000000,0.000000000000000,0.000000000000000
20,20301,1478700.000000000000000,286200.000000000000000,42300.000000000000000,57600.000000000000000,0.000000000000000,2135700.000000000000000,0.000000000000000,0.000000000000000
21,20302,919800.000000000000000,96004800.000000000000000,29191500.000000000000000,903600.000000000000000,2065500.000000000000000,198469800.000000000000000,3482100.000000000000000,75600.000000000000000
22,20303,0.000000000000000,0.000000000000000,301500.000000000000000,86400.000000000000000,7200.000000000000000,1859400.000000000000000,0.000000000000000,0.000000000000000
