FID,dbr,slope,aspect,dem,OBJECTID,ALARM_DATE.x,CONT_DATE.x,Shape_Leng.x,area,DeadBio,LivingBio,duration,fireduration,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Area,stn_1,stn_2,stn_3,month_temp,week_temp,dur_temp,month_precip,week_precip,month_humid,week_humid,dur_humid,month_sol,week_sol,wind_speed
0,335,3.9135001,29.6144009,79.7919998,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
1,0,2.8166299,241.9149933,78.5921021,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
2,81,4.1738,91.5838013,142.3399963,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
3,0,11.8568001,222.9900055,109.913002,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
4,362,11.4499998,96.2284012,119.8479996,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
5,255,1.8364201,10.8060999,97.1654968,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
6,0,5.8535399,157.548996,111.8069992,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
7,88,12.0250998,95.1927032,128.8329926,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
8,491,7.6953402,96.7330017,116.8339996,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
9,417,6.6251602,183.3359985,134.2200012,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
10,0,8.2892704,310.4719849,147.8990021,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
11,149,12.2433996,346.0889893,95.0294037,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
12,709,9.94452,236.052002,91.2993011,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
13,138,4.3092098,16.0491009,147.552002,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
14,96,6.0216498,74.2375031,115.7429962,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
15,127,8.7108603,94.5636978,140.5099945,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
16,127,5.2048302,231.4309998,92.0578995,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
17,152,1.99422,306.2189941,140.8589935,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
18,242,13.8260002,153.0579987,89.4954987,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
19,363,14.2433004,290.2590027,138.7839966,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
20,0,14.3281002,195.0549927,81.0831985,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
21,207,0.210919,347.0020142,64.3371964,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,0,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
22,356,0.0132138,76.3947983,55.6999016,20290,12/7/2017,12/24/2017,37220.33654,4080.610107,0,13184.5,17 days 00:00:00.000000000,1468800s (~2.43 weeks),CDF,MVU,LILAC,24612,14,NA,4100,4080.614746,1,1,NA,16513661.83,Pala                        ,Ammo Dump                   ,Target Range                ,62.58064516,61.5,58.66666667,0,0,53.4516129,42.5,27.33333333,268.8387097,266,6.711111111
