"","ave_df$OBJECTID","slope_MEAN","aspect_MEAN","DEM_MEAN","LiveBio_SUM","DeadBio_SUM","TreeDens","fireduration","GIS_ACRES","month_temp","week_temp","month_precip","week_precip","wind_speed","wind_max","month_humid","week_humid","conifer","shrub","herbaceous","barren_other","urban","hardwood","water","agricultural","ave_dbr"
"1",20500,18.7416904779531,212.422307279248,876.391862830951,878724084.333244,19243.2083129883,826.53671053095,432000,1522.74719238281,72.1612903225806,76,0.07,0.07,1.21666666666667,14.1666666666667,49.4838709677419,41.375,2781000,256500,942300,0,0,2189700,0,0,233.87688348833
"2",20487,4.79982554559647,211.379527693991,1548.35135431947,9594647.30737305,0,44.9546975840756,86400,1019.99224853516,69.1612903225806,71.25,0.8,0.44,0.65,8.5,41.0645161290323,44,0,866700,0,0,0,0,0,3261600,349.685348806853
"3",20652,19.7936475117161,202.998837034179,1207.92993891515,91591265757.3361,81086091.890406,970.809159587375,691200,325.513549804688,61.4838709677419,67.25,0.12,0,3.76842105263158,15.7894736842105,43.4193548387097,25.375,295846200,59846400,1593900,2270700,90000,10230300,177300,0,34.987423467547
"4",20652,19.7936475117161,202.998837034179,1207.92993891515,91591265757.3361,81086091.890406,970.809159587375,5184000,91125.328125,61.4838709677419,67.25,0.12,0,3.76842105263158,15.7894736842105,43.4193548387097,25.375,295846200,59846400,1593900,2270700,90000,10230300,177300,0,34.987423467547
"5",20333,10.6518995347685,185.270746449839,57.3864963178517,6996759.80322266,0,5.3947449139771,777600,1657.36938476562,67.7096774193548,66.375,0.05,0,3.73,16.7,53.5806451612903,39.375,0,0,6445800,0,86400,58500,900,108900,171.51055897874
"6",20516,29.1923527495548,191.561405438412,1069.40646268386,155866238.647606,117440.294273376,647.046236636719,8380800,1282.46691894531,84.3,84.625,0,0,3.2030612244898,17.5510204081633,28,28.375,0,2442600,1094400,76500,0,1580400,0,0,209.993820980341
"7",20283,16.3758533056148,195.073979837204,563.759483861911,390317092.621063,1833538.12368584,1047.13814484048,1555200,820.644104003906,67.5806451612903,63.875,0.07,0,3.58421052631579,16.4210526315789,41.258064516129,31.375,1004400,40500,157500,18900,90000,2012400,900,0,242.461722519064
"8",20300,10.1692317245816,175.161731923867,243.116684920172,70662838.8883057,0,42.8676682833788,259200,1428.53259277344,68.2258064516129,72.5,0.02,0,2.575,17.25,53.1612903225806,44.125,0,58500,3557700,5400,0,2151900,0,0,247.308713005864
"9",20478,24.8464124241698,197.166594553929,566.667172899204,33708261.1557617,2154.63775634766,204.282589367288,345600,356.935272216797,64.8064516129032,78.25,0.08,0,5.38,17,46.1612903225806,36.5,0,134100,82800,0,0,1227600,0,0,193.529440261462
"10",20304,5.90073114707734,154.430523041143,122.147305101103,1477109.69726562,0,0.76344535781588,86400,1730.46643066406,65.1034482758621,63.375,0.26,0,9.25,31,55.8965517241379,58.625,0,0,6879600,900,0,0,900,127800,275.649143392621
"11",20515,22.789515620602,141.609787578056,1010.19520130033,102723490.909119,0,158.837694606986,8640000,1522.25939941406,72.2333333333333,72.125,0.08,0,3.281,18.0990099009901,41.2666666666667,43.125,0,518400,3482100,91800,0,2059200,0,0,239.255014770998
"12",20542,20.4006466820457,102.323034374329,2045.45948878826,427010183.435486,363608.183434486,815.651050408127,6134400,446.181457519531,72.1612903225806,75.75,0.05,0.05,1.81527777777778,13.5555555555556,38.2258064516129,28.25,1538100,189900,0,3600,0,71100,0,0,-238.423746763965
"13",20231,19.8237785788197,166.480735560727,981.744285688812,64469734.8007812,0,120.835975425715,518400,521.085571289062,83.6774193548387,83.875,0.35,0,14.2857142857143,27.5714285714286,41.3225806451613,33.375,0,1916100,70200,0,32400,77400,0,0,427.111151888758
"14",20205,29.2800266536105,207.746617412653,1159.80957790834,571474411.249725,538515.356231689,534.894865161365,1900800,994.07275390625,80.3666666666667,77.625,0.11,0.11,2.82608695652174,17.1739130434783,33.0666666666667,44.625,3243600,198900,0,13500,0,562500,0,0,314.947695168533
"15",20291,21.5788250077491,216.203593467741,448.070345038845,1125325.89746094,0,3.37229116996607,259200,332.586486816406,77.4838709677419,82.125,0,0,5.35,19.5,36.5161290322581,38.25,0,929700,0,0,119700,298800,0,0,394.051869001977
"16",20597,1.18551809886753,257.752157069621,1278.24840402153,0,0,0,432000,381.014831542969,72.0714285714286,74.875,0.05,0,7.86666666666667,26.1666666666667,35.7142857142857,29.875,28800,1459800,50400,0,9000,0,0,0,150.143615342771
"17",20493,13.5295703849089,225.998777697026,2044.16571938578,443703035.979492,39217516.2514343,645.206474041461,6048000,510.109375,68.5,65.5714285714286,0.32,0.26,3.35142857142857,14.1971830985915,46.4666666666667,58.1428571428571,1898100,167400,900,0,0,0,0,0,-124.377737799701
"18",20513,25.1281660785778,213.075573084419,1417.2644984139,80368914.9214363,278917.537811279,170.036859910082,4492800,1321.26000976562,82.8666666666667,87.75,0,0,10.3981132075472,30.9811320754717,30.1666666666667,23.875,116100,3261600,886500,83700,0,999900,0,0,172.887783387151
"19",20348,22.011693989812,161.676940377901,590.533715124663,39475437.5991211,3886.92883300781,51.4185253343018,43200,733.261596679688,67.9677419354839,67.25,0.07,0,9.2,25,44.9354838709677,45.5,0,2812500,31500,18900,90900,3600,9000,0,388.395412952616
"20",20578,13.1818574761999,227.316001258092,704.497810019002,21436611.8891602,0,44.328428276075,43200,460.289581298828,79.9354838709677,81.875,0,0,3.7,16,32.5161290322581,38.375,0,984600,288900,35100,2700,0,0,554400,342.20366051841
"21",20643,18.4894772815115,200.289703223837,343.431118451533,39122280.2758789,0,45.1654811139508,43200,1821.77233886719,71.9354838709677,74.375,0,0,8.2,37,53.8064516129032,50.125,0,1114200,5553900,17100,10800,590400,1800,77400,307.281395025019
"22",20656,5.46508838017607,195.534441483422,125.354929612921,32720386.8085938,0,34.5958257631746,43200,1268.10986328125,80.0645161290323,79.375,0,0,3.5,15,38.2903225806452,39,0,0,4243500,0,0,897300,0,0,393.839497693629
"23",20523,20.3278260305008,167.152959188753,2342.55282489006,568479853.133057,36158455.7723694,743.725825467132,7689600,611.201477050781,62.4,62,0.47,0.47,6.74831460674157,23.4555555555556,48.2,51,1480500,595800,92700,0,0,301500,0,0,143.261265648261
"24",20557,28.7587725937017,183.640473840853,1558.48662682915,1612859407.67818,2491827.92614269,708.825291094046,5788800,1594.03381347656,67.4642857142857,79.8571428571429,1.21,0,4.87586206896552,20.6617647058824,52.8214285714286,39.8571428571429,5299200,1142100,16200,6300,0,0,0,0,41.3141652354767
"25",20303,10.8511500098039,158.6539886851,577.500143816326,137250747.76123,0,482.446214243288,691200,558.142517089844,74.0322580645161,82.375,0.48,0,4.38888888888889,17.3333333333333,46.7096774193548,39.625,0,0,301500,86400,7200,1859400,0,0,251.798583570199
