Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches,,,,,
Ash Mountain,20121,5/1/17,592,4.3,341,14,70,87,55,74,109,51,49,68,30,49,57,0,,,,,
Ash Mountain,20121,5/2/17,579,4.2,15,14,75,90,61,79,111,57,48,65,30,52,60,0,,,,,
Ash Mountain,20121,5/3/17,579,4,43,17,79,95,63,83,117,60,44,66,27,53,62,0,,,,,
Ash Mountain,20121,5/4/17,600,3.9,47,15,81,99,66,85,121,62,37,55,19,51,62,0,,,,,
Ash Mountain,20121,5/5/17,433,3.8,262,14,73,87,61,76,106,58,51,73,32,53,60,0,,,,,
Ash Mountain,20121,5/6/17,83,2.1,207,12,53,59,49,54,66,49,76,96,66,46,49,0,,,,,
Ash Mountain,20121,5/7/17,445,2.5,188,12,55,67,44,59,88,44,75,100,46,47,50,0.27,,,,,
Ash Mountain,20121,5/8/17,450,3.7,6,15,62,76,49,65,96,47,69,95,41,50,55,0.01,,,,,
Ash Mountain,20121,5/9/17,574,4.2,323,15,70,86,53,74,108,49,53,77,30,50,57,0,,,,,
Ash Mountain,20121,5/10/17,589,3.8,239,16,71,83,59,76,104,56,55,77,35,52,59,0,,,,,
Ash Mountain,20121,5/11/17,531,3.5,253,16,68,82,54,73,103,52,66,96,41,55,59,0,,,,,
Ash Mountain,20121,5/12/17,94,1.8,206,13,54,61,51,54,60,51,92,100,79,52,53,0.01,,,,,
Ash Mountain,20121,5/13/17,357,2.8,8,13,55,64,43,57,78,41,70,100,47,44,49,0,,,,,
Ash Mountain,20121,5/14/17,491,3.9,328,17,59,73,45,62,95,42,54,83,29,40,48,0,,,,,
Ash Mountain,20121,5/15/17,119,3.2,36,13,51,60,47,51,63,45,79,97,48,44,47,0.17,,,,,
Ash Mountain,20121,5/16/17,397,2.8,345,12,61,71,50,63,87,48,64,93,40,47,52,0,,,,,
Ash Mountain,20121,5/17/17,113,2.9,44,14,54,59,48,55,66,47,79,96,70,48,50,0,,,,,
Ash Mountain,20121,5/18/17,608,4,27,15,65,81,48,70,102,45,50,85,26,44,52,0,,,,,
Ash Mountain,20121,5/19/17,607,4.8,55,16,72,88,55,77,110,51,40,63,21,44,55,0,,,,,
Ash Mountain,20121,5/20/17,610,4.6,62,15,77,93,59,82,115,56,35,61,17,45,57,0,,,,,
