Station,Fire,date,solar_rad,wind_avg_mph,wind_v_dir_deg,wind_max_mph,air_temp_mean_degF,air_temp_max_degF,air_temp_min_degF,fuel_temp_mean_degF,fuel_temp_max_degF,fuel_temp_min_degF,humidity_mean,humidity_max,humidity_min,dew_point_degF,wet_bulb_degF,precip_inches
Mill Creek (BDF),20230,8/1/17,376,4.2,350,24,84,93,73,86,112,69,46,66,26,60,67,0.01
Mill Creek (BDF),20230,8/2/17,206,2.3,344,11,82,91,75,84,99,74,51,69,37,62,68,0
Mill Creek (BDF),20230,8/3/17,526,4.2,269,21,81,93,71,88,120,69,56,88,33,63,68,0.02
Mill Creek (BDF),20230,8/4/17,626,4.1,281,20,79,92,68,87,120,65,54,78,29,59,65,0
Mill Creek (BDF),20230,8/5/17,615,3.8,263,16,76,89,64,83,115,60,55,82,30,57,63,0
Mill Creek (BDF),20230,8/6/17,626,3.9,270,17,74,87,63,82,114,61,61,87,34,58,63,0
Mill Creek (BDF),20230,8/7/17,630,3.1,283,15,76,91,64,83,117,60,52,83,27,55,62,0
Mill Creek (BDF),20230,8/8/17,643,4.2,298,18,80,94,66,86,121,61,32,53,12,45,58,0
Mill Creek (BDF),20230,8/9/17,651,4.4,317,18,79,93,67,86,119,62,30,46,12,44,58,0
Mill Creek (BDF),20230,8/10/17,633,4.6,301,20,80,94,67,87,120,60,31,63,17,44,59,0
Mill Creek (BDF),20230,8/11/17,607,4.3,291,18,82,94,70,89,123,67,42,63,27,55,64,0
Mill Creek (BDF),20230,8/12/17,627,3.9,299,17,79,94,65,86,121,61,43,71,19,53,62,0
Mill Creek (BDF),20230,8/13/17,641,3.9,308,19,76,91,63,83,119,58,38,63,19,46,58,0
Mill Creek (BDF),20230,8/14/17,627,4.2,266,18,72,86,58,79,114,55,45,87,20,47,57,0
Mill Creek (BDF),20230,8/15/17,608,3.5,275,16,64,77,54,73,104,51,70,93,37,53,57,0
Mill Creek (BDF),20230,8/16/17,606,3.3,291,16,66,81,53,75,107,52,66,99,30,53,57,0
Mill Creek (BDF),20230,8/17/17,599,4,290,19,71,84,59,78,111,54,52,84,31,51,58,0
Mill Creek (BDF),20230,8/18/17,592,4,281,18,73,86,61,80,113,57,53,80,32,53,60,0
Mill Creek (BDF),20230,8/19/17,596,3.6,249,18,72,86,61,79,113,56,60,85,33,56,61,0
Mill Creek (BDF),20230,8/20/17,612,3.8,278,20,71,88,58,78,115,54,59,91,22,53,59,0
Mill Creek (BDF),20230,8/21/17,,,,15,,86,55,,112,52,,99,24,,,
Mill Creek (BDF),20230,8/22/17,597,4.5,280,18,78,92,65,85,119,61,37,77,21,48,60,0
Mill Creek (BDF),20230,8/23/17,585,4.1,279,20,72,85,60,79,111,58,61,91,34,56,61,0
Mill Creek (BDF),20230,8/24/17,581,4,286,18,70,86,56,78,111,55,68,99,35,57,61,0
Mill Creek (BDF),20230,8/25/17,580,4.5,288,17,78,89,63,85,115,59,46,74,28,55,63,0
Mill Creek (BDF),20230,8/26/17,591,3.7,319,17,85,99,70,90,126,65,29,62,12,46,61,0
Mill Creek (BDF),20230,8/27/17,595,4.4,238,19,85,98,71,92,126,67,29,65,16,47,61,0
